User Input,Chatbot Response,Timestamp
ok bye,See you later,2025-03-14 13:23:50
ok bye,Take care,2025-03-14 13:23:54
ok bye,Take care,2025-03-14 13:23:59
bye,Thank you for chatting with me. Have a great day!,2025-03-14 13:24:02
hi,"I'm fine, thank you",2025-03-14 13:37:33
ok be,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2025-03-14 13:37:41
ok bye,See you later,2025-03-14 13:37:44
hi,Hi there,2025-03-14 13:46:29
hi,Nothing much,2025-03-14 14:05:33
how are you,My purpose is to assist you,2025-03-14 14:05:38
hi,Hi there,2025-03-14 14:20:45
ok bye,See you later,2025-03-14 14:20:48
see you soon,See you later,2025-03-14 14:20:53
what'sthe time,I am a chatbot,2025-03-14 14:21:03
what's the time,You can check the time on your device or use a clock.,2025-03-14 14:21:11
bye,Thank you for chatting! 😊,2025-03-14 14:21:28
